probe_id,Entrez_id,gene_symbol,gene_AIBS,gene_AIBS_id
CUST_9126_PI416261804,1,A1BG,A1BG,2
CUST_50_PI416408490,2,A2M,A2M,7
CUST_15931_PI416261804,10,NAT2,NAT2,12156
A_23_P2920,12,SERPINA3,SERPINA3,16379
A_23_P80570,13,AADAC,AADAC,14
CUST_6789_PI416261804,14,AAMP,AAMP,23
CUST_15782_PI416261804,15,AANAT,AANAT,24
A_24_P172990,16,AARS,AARS,26
A_24_P330684,18,ABAT,ABAT,34
A_24_P289265,19,ABCA1,ABCA1,35
CUST_16485_PI416261804,20,ABCA2,ABCA2,41
CUST_16089_PI416261804,21,ABCA3,ABCA3,42
CUST_15999_PI416261804,22,ABCB7,ABCB7,55
A_23_P251660,23,ABCF1,ABCF1,75
CUST_16005_PI416261804,24,ABCA4,ABCA4,43
A_24_P282416,25,ABL1,ABL1,102
CUST_8984_PI416261804,26,AOC1,,0
A_32_P34970,27,ABL2,ABL2,103
CUST_15327_PI416261804,29,ABR,ABR,109
A_24_P379858,30,ACAA1,ACAA1,414
A_24_P179033,31,ACACA,ACACA,416
A_23_P87791,32,ACACB,ACACB,417
A_24_P234242,33,ACADL,ACADL,422
A_23_P65022,35,ACADS,ACADS,424
A_32_P61313,36,ACADSB,ACADSB,425
CUST_15285_PI416261804,37,ACADVL,ACADVL,426
A_24_P930262,38,ACAT1,ACAT1,431
A_23_P383835,39,ACAT2,ACAT2,432
A_24_P239219,40,ASIC2,,0
CUST_12445_PI416261804,41,ASIC1,,0
CUST_16359_PI416261804,43,ACHE,ACHE,451
CUST_9014_PI416261804,47,ACLY,ACLY,453
A_23_P9415,48,ACO1,ACO1,456
A_23_P40734,49,ACR,ACR,478
A_23_P305481,50,ACO2,ACO2,457
A_24_P935889,51,ACOX1,ACOX1,467
A_24_P922919,52,ACP1,ACP1,471
CUST_816_PI416379584,53,ACP2,ACP2,472
A_24_P46130,55,ACPP,ACPP,476
CUST_894_PI416261804,56,ACRV1,ACRV1,481
CUST_15163_PI416261804,58,ACTA1,ACTA1,500
A_24_P92680,59,ACTA2,ACTA2,501
A_23_P31323,60,ACTB,ACTB,502
A_23_P205894,70,ACTC1,ACTC1,504
A_23_P39955,72,ACTG2,ACTG2,507
A_23_P315241,81,ACTN4,ACTN4,517
A_23_P69249,86,ACTL6A,ACTL6A,508
A_24_P107695,87,ACTN1,ACTN1,514
A_24_P119678,88,ACTN2,ACTN2,515
CUST_16199_PI416261804,90,ACVR1,ACVR1,530
A_23_P99036,91,ACVR1B,ACVR1B,531
CUST_16955_PI416261804,92,ACVR2A,ACVR2A,533
A_23_P109950,93,ACVR2B,ACVR2B,534
CUST_10606_PI416261804,97,ACYP1,ACYP1,538
A_23_P256988,98,ACYP2,ACYP2,539
CUST_14646_PI416261804,100,ADA,ADA,541
CUST_14276_PI416261804,101,ADAM8,ADAM8,565
A_24_P24890,102,ADAM10,ADAM10,545
A_24_P918592,103,ADAR,ADAR,594
A_32_P141849,104,ADARB1,ADARB1,595
A_32_P45727,105,ADARB2,ADARB2,596
A_23_P21002,107,ADCY1,ADCY1,606
A_32_P405973,108,ADCY2,ADCY2,608
A_24_P919249,111,ADCY5,ADCY5,611
A_23_P501547,112,ADCY6,ADCY6,612
A_23_P106945,113,ADCY7,ADCY7,613
CUST_15239_PI416261804,114,ADCY8,ADCY8,614
A_23_P49443,115,ADCY9,ADCY9,615
A_23_P38712,116,ADCYAP1,ADCYAP1,616
CUST_9910_PI416261804,117,ADCYAP1R1,ADCYAP1R1,617
A_24_P109272,118,ADD1,ADD1,618
A_23_P421436,119,ADD2,ADD2,619
A_23_P202435,120,ADD3,ADD3,620
CUST_14000_PI416261804,123,PLIN2,,0
A_23_P58359,124,ADH1A,,0
A_23_P81158,126,ADH1C,ADH1C,623
A_24_P920938,132,ADK,ADK,634
CUST_14343_PI416261804,133,ADM,ADM,635
CUST_62_PI416408490,134,ADORA1,ADORA1,640
CUST_13568_PI416261804,136,ADORA2B,ADORA2B,642
A_23_P137931,140,ADORA3,ADORA3,643
CUST_7645_PI416261804,141,ADPRH,ADPRH,645
CUST_9838_PI416261804,146,ADRA1D,ADRA1D,650
A_32_P26621,147,ADRA1B,ADRA1B,649
CUST_7_PI416558205,148,ADRA1A,ADRA1A,648
CUST_16591_PI416261804,150,ADRA2A,ADRA2A,651
A_23_P378926,151,ADRA2B,ADRA2B,652
CUST_16013_PI416261804,152,ADRA2C,ADRA2C,653
CUST_16160_PI416261804,153,ADRB1,ADRB1,654
CUST_16801_PI416261804,154,ADRB2,ADRB2,655
A_23_P202667,156,ADRBK1,ADRBK1,657
CUST_69_PI416408490,157,ADRBK2,ADRBK2,658
CUST_13293_PI416261804,158,ADSL,ADSL,660
A_23_P201432,159,ADSS,ADSS,661
A_23_P4885,160,AP2A1,AP2A1,1128
A_24_P350252,161,AP2A2,AP2A2,1129
A_23_P6398,162,AP1B1,AP1B1,1119
A_24_P690273,163,AP2B1,AP2B1,1130
A_23_P318208,164,AP1G1,AP1G1,1120
A_23_P145916,165,AEBP1,AEBP1,663
A_24_P416728,166,AES,AES,666
CUST_1468_PI416261804,167,CRISP1,CRISP1,4459
A_23_P355289,172,AFG3L1P,AFG3L1P,677
A_23_P69606,173,AFM,AFM,679
A_23_P58205,174,AFP,AFP,681
CUST_14159_PI416261804,175,AGA,AGA,683
CUST_17093_PI416261804,176,ACAN,ACAN,427
CUST_15462_PI416261804,177,AGER,AGER,694
CUST_14559_PI416261804,178,AGL,AGL,699
CUST_9794_PI416261804,181,AGRP,AGRP,714
CUST_13510_PI416261804,182,JAG1,JAG1,8810
A_23_P318860,187,APLNR,APLNR,1169
A_23_P83590,189,AGXT,AGXT,721
CUST_14976_PI416261804,190,NR0B1,NR0B1,12609
A_24_P57367,191,AHCY,AHCY,726
A_23_P215566,196,AHR,AHR,733
A_23_P155514,197,AHSG,AHSG,736
CUST_13531_PI416261804,199,AIF1,AIF1,739
A_23_P70785,202,AIM1,AIM1,745
A_24_P278192,203,AK1,AK1,754
A_24_P933965,204,AK2,AK2,755
A_23_P200524,205,AK4,,0
A_23_P2960,207,AKT1,AKT1,793
A_23_P373475,208,AKT2,AKT2,795
A_23_P217114,210,ALAD,ALAD,818
A_23_P57877,211,ALAS1,ALAS1,819
A_32_P385587,212,ALAS2,ALAS2,820
A_23_P257834,213,ALB,ALB,821
A_32_P74643,214,ALCAM,ALCAM,822
CUST_15693_PI416261804,215,ABCD1,ABCD1,70
CUST_15603_PI416261804,216,ALDH1A1,ALDH1A1,825
A_23_P36753,217,ALDH2,ALDH2,831
A_23_P207213,218,ALDH3A1,ALDH3A1,832
A_23_P135294,219,ALDH1B1,ALDH1B1,828
CUST_16139_PI416261804,221,ALDH3B1,ALDH3B1,834
A_23_P24311,222,ALDH3B2,ALDH3B2,835
CUST_16143_PI416261804,223,ALDH9A1,ALDH9A1,841
A_23_P129896,224,ALDH3A2,ALDH3A2,833
A_23_P388124,225,ABCD2,ABCD2,71
CUST_13535_PI416261804,226,ALDOA,ALDOA,842
A_23_P32143,229,ALDOB,ALDOB,843
CUST_9455_PI416261804,230,ALDOC,ALDOC,844
CUST_13611_PI416261804,231,AKR1B1,AKR1B1,780
CUST_14666_PI416261804,238,ALK,ALK,860
A_23_P152909,239,ALOX12,ALOX12,872
A_24_P674207,240,ALOX5,ALOX5,877
A_24_P347378,241,ALOX5AP,ALOX5AP,878
CUST_8237_PI416261804,245,ALOX12P2,ALOX12P2,874
CUST_8878_PI416261804,248,ALPI,ALPI,880
A_23_P97046,249,ALPL,ALPL,884
A_23_P79587,250,ALPP,ALPP,885
A_24_P131580,251,ALPPL2,ALPPL2,886
A_23_P85941,257,ALX3,ALX3,894
A_23_P44867,258,AMBN,AMBN,899
A_23_P256504,259,AMBP,AMBP,900
A_23_P214121,262,AMD1,AMD1,902
A_23_P96478,265,AMELX,AMELX,905
A_24_P182254,266,AMELY,AMELY,906
A_23_P141005,267,AMFR,AMFR,907
CUST_15630_PI416261804,268,AMH,AMH,908
A_24_P115990,269,AMHR2,AMHR2,909
CUST_9652_PI416261804,271,AMPD2,AMPD2,922
A_24_P304154,272,AMPD3,AMPD3,923
A_23_P31273,273,AMPH,AMPH,924
A_23_P165333,274,BIN1,BIN1,1833
A_24_P174503,275,AMT,AMT,925
CUST_4616_PI416261804,279,AMY2A,AMY2A,928
A_23_P428738,283,ANG,ANG,941
CUST_15206_PI416261804,285,ANGPT2,ANGPT2,945
A_24_P162483,286,ANK1,ANK1,954
A_23_P133068,287,ANK2,ANK2,955
CUST_16586_PI416261804,290,ANPEP,ANPEP,1062
CUST_11776_PI416261804,291,SLC25A4,SLC25A4,16789
A_24_P182183,292,SLC25A5,SLC25A5,16797
A_23_P33752,293,SLC25A6,SLC25A6,16800
A_23_P94501,301,ANXA1,ANXA1,1066
A_24_P937744,302,ANXA2,ANXA2,1070
A_24_P204244,303,ANXA2P1,ANXA2P1,1071
A_24_P323114,305,ANXA2P3,ANXA2P3,1072
CUST_1074_PI416261804,306,ANXA3,ANXA3,1074
A_24_P731255,307,ANXA4,ANXA4,1075
A_23_P69720,308,ANXA5,ANXA5,1076
CUST_15233_PI416261804,309,ANXA6,ANXA6,1077
A_24_P107142,311,ANXA11,ANXA11,1068
A_23_P60009,312,ANXA13,ANXA13,1069
A_23_P145718,313,AOAH,AOAH,1081
A_23_P4133,314,AOC2,AOC2,1082
CUST_1245_PI416573500,317,APAF1,APAF1,1146
CUST_7826_PI416261804,318,NUDT2,NUDT2,12739
CUST_3408_PI416261804,320,APBA1,APBA1,1147
